sep=;
"Versie";"4"
"Taal";"nl-NL"
"Lokale exportdatum";"29.11.2025 23:55:41"
"Exportdatum UTC";"2025-11-29T22:55:41.164Z"
"Tijdzone";"Europe/Berlin"
"Gebruikersnaam";"meidoornstraat4@gmail.com"
"Niveau";"Installatie"
"ID van de installatie";"14399320"
"Naam van de installatie";"meidoornstraat4"
"";""
"Periode";"Vermogen [W]"
"00:05";"0"
"00:10";"0"
"00:15";"0"
"00:20";"0"
"00:25";"0"
"00:30";"0"
"00:35";"0"
"00:40";"0"
"00:45";"0"
"00:50";"0"
"00:55";"0"
"01:00";"0"
"01:05";"0"
"01:10";"0"
"01:15";"0"
"01:20";"0"
"01:25";"0"
"01:30";"0"
"01:35";"0"
"01:40";"0"
"01:45";"0"
"01:50";"0"
"01:55";"0"
"02:00";"0"
"02:05";"0"
"02:10";"0"
"02:15";"0"
"02:20";"0"
"02:25";"0"
"02:30";"0"
"02:35";"0"
"02:40";"0"
"02:45";"0"
"02:50";"0"
"02:55";"0"
"03:00";"0"
"03:05";"0"
"03:10";"0"
"03:15";"0"
"03:20";"0"
"03:25";"0"
"03:30";"0"
"03:35";"0"
"03:40";"0"
"03:45";"0"
"03:50";"0"
"03:55";"0"
"04:00";"0"
"04:05";"0"
"04:10";"0"
"04:15";"0"
"04:20";"0"
"04:25";"0"
"04:30";"0"
"04:35";"0"
"04:40";"0"
"04:45";"0"
"04:50";"0"
"04:55";"0"
"05:00";"0"
"05:05";"0"
"05:10";"0"
"05:15";"0"
"05:20";"0"
"05:25";"0"
"05:30";"0"
"05:35";"0"
"05:40";"0"
"05:45";"0"
"05:50";"0"
"05:55";"0"
"06:00";"0"
"06:05";"0"
"06:10";"0"
"06:15";"0"
"06:20";"0"
"06:25";"0"
"06:30";"0"
"06:35";"0"
"06:40";"0"
"06:45";"0"
"06:50";"0"
"06:55";"0"
"07:00";"0"
"07:05";"0"
"07:10";"0"
"07:15";"0"
"07:20";"0"
"07:25";"0"
"07:30";"0"
"07:35";"0"
"07:40";"0"
"07:45";"0"
"07:50";"0"
"07:55";"0"
"08:00";"0"
"08:05";"0"
"08:10";"0"
"08:15";"0"
"08:20";"0"
"08:25";"0"
"08:30";"0"
"08:35";"0"
"08:40";"0"
"08:45";"0"
"08:50";"0"
"08:55";"0"
"09:00";"0"
"09:05";"0"
"09:10";"0"
"09:15";"0"
"09:20";"0"
"09:25";"0"
"09:30";"12"
"09:35";"36"
"09:40";"24"
"09:45";"36"
"09:50";"36"
"09:55";"36"
"10:00";"60"
"10:05";"60"
"10:10";"84"
"10:15";"108"
"10:20";"108"
"10:25";"120"
"10:30";"144"
"10:35";"120"
"10:40";"204"
"10:45";"264"
"10:50";"180"
"10:55";"240"
"11:00";"252"
"11:05";"180"
"11:10";"204"
"11:15";"228"
"11:20";"216"
"11:25";"168"
"11:30";"180"
"11:35";"288"
"11:40";"360"
"11:45";"348"
"11:50";"264"
"11:55";"216"
"12:00";"204"
"12:05";"192"
"12:10";"192"
"12:15";"180"
"12:20";"216"
"12:25";"240"
"12:30";"180"
"12:35";"252"
"12:40";"360"
"12:45";"240"
"12:50";"168"
"12:55";"192"
"13:00";"252"
"13:05";"348"
"13:10";"600"
"13:15";"780"
"13:20";"576"
"13:25";"504"
"13:30";"432"
"13:35";"408"
"13:40";"552"
"13:45";"420"
"13:50";"300"
"13:55";"192"
"14:00";"228"
"14:05";"300"
"14:10";"276"
"14:15";"324"
"14:20";"300"
"14:25";"228"
"14:30";"300"
"14:35";"240"
"14:40";"216"
"14:45";"204"
"14:50";"84"
"14:55";"108"
"15:00";"144"
"15:05";"180"
"15:10";"216"
"15:15";"192"
"15:20";"132"
"15:25";"156"
"15:30";"144"
"15:35";"96"
"15:40";"48"
"15:45";"60"
"15:50";"60"
"15:55";"60"
"16:00";"36"
"16:05";"12"
"16:10";"0"
"16:15";"0"
"16:20";"0"
"16:25";"0"
"16:30";"0"
"16:35";"0"
"16:40";"0"
"16:45";"0"
"16:50";"0"
"16:55";"0"
"17:00";"0"
"17:05";"0"
"17:10";"0"
"17:15";"0"
"17:20";"0"
"17:25";"0"
"17:30";"0"
"17:35";"0"
"17:40";"0"
"17:45";"0"
"17:50";"0"
"17:55";"0"
"18:00";"0"
"18:05";"0"
"18:10";"0"
"18:15";"0"
"18:20";"0"
"18:25";"0"
"18:30";"0"
"18:35";"0"
"18:40";"0"
"18:45";"0"
"18:50";"0"
"18:55";"0"
"19:00";"0"
"19:05";"0"
"19:10";"0"
"19:15";"0"
"19:20";"0"
"19:25";"0"
"19:30";"0"
"19:35";"0"
"19:40";"0"
"19:45";"0"
"19:50";"0"
"19:55";"0"
"20:00";"0"
"20:10";"0"
"20:15";"0"
"20:20";"0"
"20:25";"0"
"20:30";"0"
"20:35";"0"
"20:40";"0"
"20:45";"0"
"20:50";"0"
"20:55";"0"
"21:00";"0"
"21:05";"0"
"21:10";"0"
"21:15";"0"
"21:20";"0"
"21:25";"0"
"21:30";"0"
"21:35";"0"
"21:40";"0"
"21:45";"0"
"21:50";"0"
"21:55";"0"
"22:00";"0"
"22:05";"0"
"22:10";"0"
"22:15";"0"
"22:20";"0"
"22:25";"0"
"22:30";"0"
"22:35";"0"
"22:40";"0"
"22:45";"0"
"22:50";"0"
"22:55";"0"
"23:00";"0"
"23:05";"0"
"23:10";"0"
"23:15";"0"
"23:20";"0"
"23:25";"0"
"23:30";"0"
"23:35";"0"
"23:40";"0"
"23:45";"0"
