sep=;
"Versie";"4"
"Taal";"nl-NL"
"Lokale exportdatum";"19.11.2025 18:19:54"
"Exportdatum UTC";"2025-11-19T17:19:54.537Z"
"Tijdzone";"Europe/Berlin"
"Gebruikersnaam";"meidoornstraat4@gmail.com"
"Niveau";"Installatie"
"ID van de installatie";"14399320"
"Naam van de installatie";"meidoornstraat4"
"";""
"Periode";"Vermogen [W]"
"00:05";"0"
"00:10";"0"
"00:15";"0"
"00:20";"0"
"00:25";"0"
"00:30";"0"
"00:35";"0"
"00:40";"0"
"00:45";"0"
"00:50";"0"
"00:55";"0"
"01:00";"0"
"01:05";"0"
"01:10";"0"
"01:15";"0"
"01:20";"0"
"01:25";"0"
"01:30";"0"
"01:35";"0"
"01:40";"0"
"01:45";"0"
"01:50";"0"
"01:55";"0"
"02:00";"0"
"02:05";"0"
"02:10";"0"
"02:15";"0"
"02:20";"0"
"02:25";"0"
"02:30";"0"
"02:35";"0"
"02:40";"0"
"02:45";"0"
"02:50";"0"
"02:55";"0"
"03:00";"0"
"03:05";"0"
"03:10";"0"
"03:15";"0"
"03:20";"0"
"03:25";"0"
"03:30";"0"
"03:35";"0"
"03:40";"0"
"03:45";"0"
"03:50";"0"
"03:55";"0"
"04:00";"0"
"04:05";"0"
"04:10";"0"
"04:15";"0"
"04:20";"0"
"04:25";"0"
"04:30";"0"
"04:35";"0"
"04:40";"0"
"04:45";"0"
"04:50";"0"
"04:55";"0"
"05:00";"0"
"05:05";"0"
"05:10";"0"
"05:15";"0"
"05:20";"0"
"05:25";"0"
"05:30";"0"
"05:35";"0"
"05:40";"0"
"05:45";"0"
"05:50";"0"
"05:55";"0"
"06:00";"0"
"06:05";"0"
"06:10";"0"
"06:15";"0"
"06:20";"0"
"06:25";"0"
"06:30";"0"
"06:35";"0"
"06:40";"0"
"06:45";"0"
"06:50";"0"
"06:55";"0"
"07:00";"0"
"07:05";"0"
"07:10";"0"
"07:15";"0"
"07:20";"0"
"07:25";"0"
"07:30";"0"
"07:35";"0"
"07:40";"0"
"07:45";"0"
"07:50";"0"
"07:55";"0"
"08:00";"0"
"08:05";"0"
"08:10";"0"
"08:15";"0"
"08:20";"0"
"08:25";"0"
"08:30";"0"
"08:35";"0"
"08:40";"0"
"08:45";"0"
"08:50";"0"
"08:55";"0"
"09:00";"0"
"09:05";"12"
"09:10";"24"
"09:15";"36"
"09:20";"48"
"09:25";"60"
"09:30";"120"
"09:35";"156"
"09:40";"180"
"09:45";"240"
"09:50";"276"
"09:55";"348"
"10:00";"372"
"10:05";"384"
"10:10";"480"
"10:15";"408"
"10:20";"312"
"10:25";"288"
"10:30";"372"
"10:35";"504"
"10:40";"468"
"10:45";"300"
"10:50";"216"
"10:55";"204"
"11:00";"228"
"11:05";"264"
"11:10";"84"
"11:15";"120"
"11:20";"132"
"11:25";"96"
"11:30";"180"
"11:35";"420"
"11:40";"504"
"11:45";"540"
"11:50";"504"
"11:55";"408"
"12:00";"360"
"12:05";"336"
"12:10";"336"
"12:15";"408"
"12:20";"324"
"12:25";"336"
"12:30";"456"
"12:35";"588"
"12:40";"468"
"12:45";"360"
"12:50";"312"
"12:55";"300"
"13:00";"300"
"13:05";"264"
"13:10";"288"
"13:15";"276"
"13:20";"288"
"13:25";"372"
"13:30";"324"
"13:35";"288"
"13:40";"348"
"13:45";"396"
"13:50";"276"
"13:55";"120"
"14:00";"84"
"14:05";"96"
"14:10";"156"
"14:15";"180"
"14:20";"168"
"14:25";"120"
"14:30";"108"
"14:35";"84"
"14:40";"96"
"14:45";"120"
"14:50";"84"
"14:55";"84"
"15:00";"96"
"15:05";"144"
"15:10";"120"
"15:15";"72"
"15:20";"96"
"15:25";"72"
"15:30";"24"
"15:35";"12"
"15:40";"48"
"15:45";"36"
"15:50";"48"
"15:55";"24"
"16:00";"24"
"16:05";"12"
"16:10";"0"
"16:15";"0"
"16:20";"0"
"16:25";"0"
"16:30";"0"
"16:35";"0"
"16:40";"0"
"16:45";"0"
"16:50";"0"
"16:55";"0"
"17:00";"0"
"17:05";"0"
"17:10";"0"
"17:15";"0"
"17:20";"0"
"17:25";"0"
"17:30";"0"
"17:35";"0"
"17:40";"0"
"17:45";"0"
"17:50";"0"
"17:55";"0"
"18:00";"0"
"18:05";"0"
"18:10";"0"
"18:15";"0"
